ANIO,MES,PROVINCIA,ALFABETISMO,AGUA_POTABLE,DEMORA_CITA _horas,DEMORA_TRASLADO_horas
2019,1,CORONEL PORTILLO,0.134,0.579,1.463,0.288
2019,2,CORONEL PORTILLO,0.139,0.212,13.657,0.247
2019,3,CORONEL PORTILLO,0.222,0.214,5.727,0.415
2019,4,CORONEL PORTILLO,0.233,0.527,1.254,0.251
2019,5,CORONEL PORTILLO,0.24,0.439,39.428,0.273
2019,6,CORONEL PORTILLO,0.229,0.376,3.274,0.161
2019,7,CORONEL PORTILLO,0.19,0.433,29.353,0.341
2019,8,CORONEL PORTILLO,0.161,0.292,6.27,0.216
2019,9,CORONEL PORTILLO,0.118,0.488,50.979,0.239
2019,10,CORONEL PORTILLO,0.19,0.5,22.11,0.262
2019,11,CORONEL PORTILLO,0.26,0.31,14.911,0.287
2019,12,CORONEL PORTILLO,0.186,0.537,38.927,0.23
2020,1,CORONEL PORTILLO,0.143,0.411,7.049,0.269
2020,2,CORONEL PORTILLO,0.176,0.516,23.346,0.212
2020,3,CORONEL PORTILLO,0.27,0.342,2.805,0.371
2020,4,CORONEL PORTILLO,0.278,0.348,,
2020,5,CORONEL PORTILLO,0.338,0.431,,
2020,6,CORONEL PORTILLO,0.323,0.242,,
2020,7,CORONEL PORTILLO,0.295,0.294,,
2020,8,CORONEL PORTILLO,0.287,0.25,,
2020,9,CORONEL PORTILLO,0.148,0.47,14.216,0.433
2020,10,CORONEL PORTILLO,0.173,0.471,6.635,0.26
2020,11,CORONEL PORTILLO,0.208,0.384,0.903,0.619
2020,12,CORONEL PORTILLO,0.173,0.577,1.657,0.349
2021,1,CORONEL PORTILLO,0.167,0.413,4.208,0.158
2021,2,CORONEL PORTILLO,0.168,0.193,0.454,0.652
2021,3,CORONEL PORTILLO,0.19,0.406,0.272,0.231
2021,4,CORONEL PORTILLO,0.203,0.354,29.008,0.175
2021,5,CORONEL PORTILLO,0.218,0.405,0.591,0.428
2021,6,CORONEL PORTILLO,0.154,0.635,2.536,0.219
2021,7,CORONEL PORTILLO,0.228,0.34,5.031,0.336
2021,8,CORONEL PORTILLO,0.192,0.302,8.156,0.236
2021,9,CORONEL PORTILLO,0.203,0.517,0.721,0.225
