CENTRO_SALUD,ANIO,DEPARTAMENTO,RANGO_EDAD,EFERMERDAD,MES,COBERTURA,CANTIDAD,PROVINCIA,DISTRITO,RED,MICRORRED,DESCRIPCION_ESTABLECIMIENTO,CANTIDAD DE PERSONAL,POBLACION,PRESUPUESTO
SANIDAD AEREA,2019,UCAYALI,1_ANIO,AMA,ABRIL,0,0,,,,,,,,998497
SANIDAD AEREA,2019,UCAYALI,1_ANIO,AMA,AGOSTO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,3650033
SANIDAD AEREA,2019,UCAYALI,1_ANIO,AMA,DICIEMBRE,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,1953340
SANIDAD AEREA,2019,UCAYALI,1_ANIO,AMA,ENERO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,1,115625,924269
SANIDAD AEREA,2019,UCAYALI,1_ANIO,AMA,FEBRERO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,1,115625,1000320
SANIDAD AEREA,2019,UCAYALI,1_ANIO,AMA,JULIO,0,0,,,,,,,,1352080
SANIDAD AEREA,2019,UCAYALI,1_ANIO,AMA,JUNIO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,1235133
SANIDAD AEREA,2019,UCAYALI,1_ANIO,AMA,MARZO,0,0,,,,,,,,1003216
SANIDAD AEREA,2019,UCAYALI,1_ANIO,AMA,MAYO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,1030125
SANIDAD AEREA,2019,UCAYALI,1_ANIO,AMA,NOVIEMBRE,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,1813790
SANIDAD AEREA,2019,UCAYALI,1_ANIO,AMA,OCTUBRE,0,0,,,,,,,,619318
SANIDAD AEREA,2019,UCAYALI,1_ANIO,AMA,SETIEMBRE,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,85800
SANIDAD AEREA,2019,UCAYALI,1_ANIO,APO_REF,ABRIL,0,0,,,,,,,,998497
SANIDAD AEREA,2019,UCAYALI,1_ANIO,APO_REF,AGOSTO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,3650033
