,CENTRO_SALUD,ANIO,RANGO_EDAD,VACUNA,MES,PROVINCIA,DISTRITO,CANTIDAD DE PERSONAL,POBLACION,PRESUPUESTO,%,CANTIDAD
4680,ALTO 9 DE FEBRERO,2019,1_ANIO,AMA,ABRIL,CORONEL PORTILLO,CAMPOVERDE,,19029,998497,0.0,0
4681,ALTO 9 DE FEBRERO,2019,1_ANIO,AMA,AGOSTO,CORONEL PORTILLO,CAMPOVERDE,,19029,3650033,0.0,0
4682,ALTO 9 DE FEBRERO,2019,1_ANIO,AMA,DICIEMBRE,CORONEL PORTILLO,CAMPOVERDE,,19029,1953340,0.0,0
4683,ALTO 9 DE FEBRERO,2019,1_ANIO,AMA,ENERO,CORONEL PORTILLO,CAMPOVERDE,,19029,924269,0.0,0
4684,ALTO 9 DE FEBRERO,2019,1_ANIO,AMA,FEBRERO,CORONEL PORTILLO,CAMPOVERDE,,19029,1000320,0.0,0
4685,ALTO 9 DE FEBRERO,2019,1_ANIO,AMA,JULIO,CORONEL PORTILLO,CAMPOVERDE,,19029,1352080,0.0,0
4686,ALTO 9 DE FEBRERO,2019,1_ANIO,AMA,JUNIO,CORONEL PORTILLO,CAMPOVERDE,,19029,1235133,0.0,0
4687,ALTO 9 DE FEBRERO,2019,1_ANIO,AMA,MARZO,CORONEL PORTILLO,CAMPOVERDE,,19029,1003216,0.0,0
4688,ALTO 9 DE FEBRERO,2019,1_ANIO,AMA,MAYO,CORONEL PORTILLO,CAMPOVERDE,,19029,1030125,0.0,0
4689,ALTO 9 DE FEBRERO,2019,1_ANIO,AMA,NOVIEMBRE,CORONEL PORTILLO,CAMPOVERDE,,19029,1813790,0.0,0
4690,ALTO 9 DE FEBRERO,2019,1_ANIO,AMA,OCTUBRE,CORONEL PORTILLO,CAMPOVERDE,,19029,619318,0.0,0
4691,ALTO 9 DE FEBRERO,2019,1_ANIO,AMA,SETIEMBRE,CORONEL PORTILLO,CAMPOVERDE,,19029,85800,0.0,0
4692,ALTO 9 DE FEBRERO,2019,1_ANIO,APO_REF,ABRIL,CORONEL PORTILLO,CAMPOVERDE,,19029,998497,0.0,0
4693,ALTO 9 DE FEBRERO,2019,1_ANIO,APO_REF,AGOSTO,CORONEL PORTILLO,CAMPOVERDE,,19029,3650033,0.0,0
4694,ALTO 9 DE FEBRERO,2019,1_ANIO,APO_REF,DICIEMBRE,CORONEL PORTILLO,CAMPOVERDE,,19029,1953340,0.0,0
4695,ALTO 9 DE FEBRERO,2019,1_ANIO,APO_REF,ENERO,CORONEL PORTILLO,CAMPOVERDE,,19029,924269,0.0,0
4696,ALTO 9 DE FEBRERO,2019,1_ANIO,APO_REF,FEBRERO,CORONEL PORTILLO,CAMPOVERDE,,19029,1000320,0.0,0
4697,ALTO 9 DE FEBRERO,2019,1_ANIO,APO_REF,JULIO,CORONEL PORTILLO,CAMPOVERDE,,19029,1352080,0.0,0
4698,ALTO 9 DE FEBRERO,2019,1_ANIO,APO_REF,JUNIO,CORONEL PORTILLO,CAMPOVERDE,,19029,1235133,0.0,0
4699,ALTO 9 DE FEBRERO,2019,1_ANIO,APO_REF,MARZO,CORONEL PORTILLO,CAMPOVERDE,,19029,1003216,0.0,0
4700,ALTO 9 DE FEBRERO,2019,1_ANIO,APO_REF,MAYO,CORONEL PORTILLO,CAMPOVERDE,,19029,1030125,0.0,0
4701,ALTO 9 DE FEBRERO,2019,1_ANIO,APO_REF,NOVIEMBRE,CORONEL PORTILLO,CAMPOVERDE,,19029,1813790,0.0,0
4702,ALTO 9 DE FEBRERO,2019,1_ANIO,APO_REF,OCTUBRE,CORONEL PORTILLO,CAMPOVERDE,,19029,619318,0.0,0
4703,ALTO 9 DE FEBRERO,2019,1_ANIO,APO_REF,SETIEMBRE,CORONEL PORTILLO,CAMPOVERDE,,19029,85800,0.0,0
4704,ALTO 9 DE FEBRERO,2019,1_ANIO,APT,ABRIL,CORONEL PORTILLO,CAMPOVERDE,,19029,998497,0.0,0
4705,ALTO 9 DE FEBRERO,2019,1_ANIO,APT,AGOSTO,CORONEL PORTILLO,CAMPOVERDE,,19029,3650033,0.0,0
4706,ALTO 9 DE FEBRERO,2019,1_ANIO,APT,DICIEMBRE,CORONEL PORTILLO,CAMPOVERDE,,19029,1953340,0.0,0
4707,ALTO 9 DE FEBRERO,2019,1_ANIO,APT,ENERO,CORONEL PORTILLO,CAMPOVERDE,,19029,924269,0.0,0
4708,ALTO 9 DE FEBRERO,2019,1_ANIO,APT,FEBRERO,CORONEL PORTILLO,CAMPOVERDE,,19029,1000320,0.0,0
4709,ALTO 9 DE FEBRERO,2019,1_ANIO,APT,JULIO,CORONEL PORTILLO,CAMPOVERDE,,19029,1352080,0.0,0
4710,ALTO 9 DE FEBRERO,2019,1_ANIO,APT,JUNIO,CORONEL PORTILLO,CAMPOVERDE,,19029,1235133,0.0,0
4711,ALTO 9 DE FEBRERO,2019,1_ANIO,APT,MARZO,CORONEL PORTILLO,CAMPOVERDE,,19029,1003216,0.0,0
4712,ALTO 9 DE FEBRERO,2019,1_ANIO,APT,MAYO,CORONEL PORTILLO,CAMPOVERDE,,19029,1030125,0.0,0
