VACUNA,ANIO,MES,PROVINCIA,DISTRITO,RANGO_EDAD,CANTIDAD DE PERSONAL,POBLACION,PRESUPUESTO,CANTIDAD
AMA,2019,ABRIL,CORONEL PORTILLO,CALLERIA,1_ANIO,452.0,168924,998497,67
AMA,2019,ABRIL,CORONEL PORTILLO,CAMPOVERDE,1_ANIO,63.0,19029,998497,34
AMA,2019,ABRIL,CORONEL PORTILLO,NUEVA REQUENA,1_ANIO,27.0,5690,998497,17
AMA,2019,ABRIL,CORONEL PORTILLO,YARINACOCHA,1_ANIO,390.0,115625,998497,89
AMA,2019,ABRIL,PADRE ABAD,ALEXANDER VON HUMBOLDT,1_ANIO,8.0,6037,998497,6
AMA,2019,ABRIL,PADRE ABAD,CURIMANA,1_ANIO,20.0,9803,998497,12
AMA,2019,ABRIL,PADRE ABAD,NESHUYA,1_ANIO,26.0,10080,998497,13
AMA,2019,AGOSTO,CORONEL PORTILLO,CALLERIA,1_ANIO,435.0,168924,3650033,26
AMA,2019,AGOSTO,CORONEL PORTILLO,CAMPOVERDE,1_ANIO,56.0,19029,3650033,13
AMA,2019,AGOSTO,CORONEL PORTILLO,NUEVA REQUENA,1_ANIO,22.0,5690,3650033,7
AMA,2019,AGOSTO,CORONEL PORTILLO,YARINACOCHA,1_ANIO,371.0,115625,3650033,29
AMA,2019,AGOSTO,PADRE ABAD,ALEXANDER VON HUMBOLDT,1_ANIO,7.0,6037,3650033,2
AMA,2019,AGOSTO,PADRE ABAD,CURIMANA,1_ANIO,19.0,9803,3650033,0
AMA,2019,AGOSTO,PADRE ABAD,NESHUYA,1_ANIO,23.0,10080,3650033,11
AMA,2019,DICIEMBRE,CORONEL PORTILLO,CALLERIA,1_ANIO,440.0,168924,1953340,43
AMA,2019,DICIEMBRE,CORONEL PORTILLO,CAMPOVERDE,1_ANIO,57.0,19029,1953340,15
AMA,2019,DICIEMBRE,CORONEL PORTILLO,NUEVA REQUENA,1_ANIO,22.0,5690,1953340,15
AMA,2019,DICIEMBRE,CORONEL PORTILLO,YARINACOCHA,1_ANIO,368.0,115625,1953340,58
AMA,2019,DICIEMBRE,PADRE ABAD,ALEXANDER VON HUMBOLDT,1_ANIO,7.0,6037,1953340,3
AMA,2019,DICIEMBRE,PADRE ABAD,CURIMANA,1_ANIO,19.0,9803,1953340,12
AMA,2019,DICIEMBRE,PADRE ABAD,NESHUYA,1_ANIO,24.0,10080,1953340,14
AMA,2019,ENERO,CORONEL PORTILLO,CALLERIA,1_ANIO,422.0,168924,924269,85
AMA,2019,ENERO,CORONEL PORTILLO,CAMPOVERDE,1_ANIO,58.0,19029,924269,18
AMA,2019,ENERO,CORONEL PORTILLO,NUEVA REQUENA,1_ANIO,23.0,5690,924269,11
AMA,2019,ENERO,CORONEL PORTILLO,YARINACOCHA,1_ANIO,375.0,115625,924269,83
AMA,2019,ENERO,PADRE ABAD,ALEXANDER VON HUMBOLDT,1_ANIO,6.0,6037,924269,2
AMA,2019,ENERO,PADRE ABAD,CURIMANA,1_ANIO,15.0,9803,924269,14
AMA,2019,ENERO,PADRE ABAD,NESHUYA,1_ANIO,25.0,10080,924269,8
AMA,2019,FEBRERO,CORONEL PORTILLO,CALLERIA,1_ANIO,404.0,168924,1000320,125
