VACUNA,ANIO,MES,RANGO_EDAD,POBLACION,PROVINCIA,DISTRITO,PRESUPUESTO,CANTIDAD DE PERSONAL,CANTIDAD
AMA,2019,ABRIL,1_ANIO,5690,CORONEL PORTILLO,NUEVA REQUENA,998497,27.0,17
AMA,2019,ABRIL,1_ANIO,6037,PADRE ABAD,ALEXANDER VON HUMBOLDT,998497,8.0,6
AMA,2019,ABRIL,1_ANIO,9803,PADRE ABAD,CURIMANA,998497,20.0,12
AMA,2019,ABRIL,1_ANIO,10080,PADRE ABAD,NESHUYA,998497,26.0,13
AMA,2019,ABRIL,1_ANIO,19029,CORONEL PORTILLO,CAMPOVERDE,998497,63.0,34
AMA,2019,ABRIL,1_ANIO,115625,CORONEL PORTILLO,YARINACOCHA,998497,390.0,89
AMA,2019,ABRIL,1_ANIO,168924,CORONEL PORTILLO,CALLERIA,998497,452.0,67
AMA,2019,AGOSTO,1_ANIO,5690,CORONEL PORTILLO,NUEVA REQUENA,3650033,22.0,7
AMA,2019,AGOSTO,1_ANIO,6037,PADRE ABAD,ALEXANDER VON HUMBOLDT,3650033,7.0,2
AMA,2019,AGOSTO,1_ANIO,9803,PADRE ABAD,CURIMANA,3650033,19.0,0
AMA,2019,AGOSTO,1_ANIO,10080,PADRE ABAD,NESHUYA,3650033,23.0,11
AMA,2019,AGOSTO,1_ANIO,19029,CORONEL PORTILLO,CAMPOVERDE,3650033,56.0,13
AMA,2019,AGOSTO,1_ANIO,115625,CORONEL PORTILLO,YARINACOCHA,3650033,371.0,29
AMA,2019,AGOSTO,1_ANIO,168924,CORONEL PORTILLO,CALLERIA,3650033,435.0,26
AMA,2019,DICIEMBRE,1_ANIO,5690,CORONEL PORTILLO,NUEVA REQUENA,1953340,22.0,15
AMA,2019,DICIEMBRE,1_ANIO,6037,PADRE ABAD,ALEXANDER VON HUMBOLDT,1953340,7.0,3
AMA,2019,DICIEMBRE,1_ANIO,9803,PADRE ABAD,CURIMANA,1953340,19.0,12
AMA,2019,DICIEMBRE,1_ANIO,10080,PADRE ABAD,NESHUYA,1953340,24.0,14
AMA,2019,DICIEMBRE,1_ANIO,19029,CORONEL PORTILLO,CAMPOVERDE,1953340,57.0,15
AMA,2019,DICIEMBRE,1_ANIO,115625,CORONEL PORTILLO,YARINACOCHA,1953340,368.0,58
AMA,2019,DICIEMBRE,1_ANIO,168924,CORONEL PORTILLO,CALLERIA,1953340,440.0,43
AMA,2019,ENERO,1_ANIO,5690,CORONEL PORTILLO,NUEVA REQUENA,924269,23.0,11
AMA,2019,ENERO,1_ANIO,6037,PADRE ABAD,ALEXANDER VON HUMBOLDT,924269,6.0,2
AMA,2019,ENERO,1_ANIO,9803,PADRE ABAD,CURIMANA,924269,15.0,14
AMA,2019,ENERO,1_ANIO,10080,PADRE ABAD,NESHUYA,924269,25.0,8
AMA,2019,ENERO,1_ANIO,19029,CORONEL PORTILLO,CAMPOVERDE,924269,58.0,18
AMA,2019,ENERO,1_ANIO,115625,CORONEL PORTILLO,YARINACOCHA,924269,375.0,83
AMA,2019,ENERO,1_ANIO,168924,CORONEL PORTILLO,CALLERIA,924269,422.0,85
AMA,2019,FEBRERO,1_ANIO,5690,CORONEL PORTILLO,NUEVA REQUENA,1000320,22.0,8
AMA,2019,FEBRERO,1_ANIO,6037,PADRE ABAD,ALEXANDER VON HUMBOLDT,1000320,6.0,8
AMA,2019,FEBRERO,1_ANIO,9803,PADRE ABAD,CURIMANA,1000320,15.0,44
AMA,2019,FEBRERO,1_ANIO,10080,PADRE ABAD,NESHUYA,1000320,25.0,38
AMA,2019,FEBRERO,1_ANIO,19029,CORONEL PORTILLO,CAMPOVERDE,1000320,58.0,29
AMA,2019,FEBRERO,1_ANIO,115625,CORONEL PORTILLO,YARINACOCHA,1000320,341.0,110
AMA,2019,FEBRERO,1_ANIO,168924,CORONEL PORTILLO,CALLERIA,1000320,404.0,125
AMA,2019,JULIO,1_ANIO,5690,CORONEL PORTILLO,NUEVA REQUENA,1352080,27.0,0
AMA,2019,JULIO,1_ANIO,6037,PADRE ABAD,ALEXANDER VON HUMBOLDT,1352080,8.0,1
AMA,2019,JULIO,1_ANIO,9803,PADRE ABAD,CURIMANA,1352080,20.0,0
AMA,2019,JULIO,1_ANIO,10080,PADRE ABAD,NESHUYA,1352080,26.0,4
AMA,2019,JULIO,1_ANIO,19029,CORONEL PORTILLO,CAMPOVERDE,1352080,63.0,5
AMA,2019,JULIO,1_ANIO,115625,CORONEL PORTILLO,YARINACOCHA,1352080,390.0,49
AMA,2019,JULIO,1_ANIO,168924,CORONEL PORTILLO,CALLERIA,1352080,452.0,18
AMA,2019,JUNIO,1_ANIO,5690,CORONEL PORTILLO,NUEVA REQUENA,1235133,25.0,4
AMA,2019,JUNIO,1_ANIO,6037,PADRE ABAD,ALEXANDER VON HUMBOLDT,1235133,6.0,2
AMA,2019,JUNIO,1_ANIO,9803,PADRE ABAD,CURIMANA,1235133,19.0,0
AMA,2019,JUNIO,1_ANIO,10080,PADRE ABAD,NESHUYA,1235133,23.0,3
AMA,2019,JUNIO,1_ANIO,19029,CORONEL PORTILLO,CAMPOVERDE,1235133,60.0,3
AMA,2019,JUNIO,1_ANIO,115625,CORONEL PORTILLO,YARINACOCHA,1235133,370.0,38
AMA,2019,JUNIO,1_ANIO,168924,CORONEL PORTILLO,CALLERIA,1235133,434.0,10
AMA,2019,MARZO,1_ANIO,5690,CORONEL PORTILLO,NUEVA REQUENA,1003216,27.0,8
AMA,2019,MARZO,1_ANIO,6037,PADRE ABAD,ALEXANDER VON HUMBOLDT,1003216,8.0,5
AMA,2019,MARZO,1_ANIO,9803,PADRE ABAD,CURIMANA,1003216,20.0,25
AMA,2019,MARZO,1_ANIO,10080,PADRE ABAD,NESHUYA,1003216,26.0,30
AMA,2019,MARZO,1_ANIO,19029,CORONEL PORTILLO,CAMPOVERDE,1003216,63.0,25
AMA,2019,MARZO,1_ANIO,115625,CORONEL PORTILLO,YARINACOCHA,1003216,390.0,114
AMA,2019,MARZO,1_ANIO,168924,CORONEL PORTILLO,CALLERIA,1003216,452.0,99
AMA,2019,MAYO,1_ANIO,5690,CORONEL PORTILLO,NUEVA REQUENA,1030125,26.0,8
AMA,2019,MAYO,1_ANIO,6037,PADRE ABAD,ALEXANDER VON HUMBOLDT,1030125,7.0,4
AMA,2019,MAYO,1_ANIO,9803,PADRE ABAD,CURIMANA,1030125,20.0,21
AMA,2019,MAYO,1_ANIO,10080,PADRE ABAD,NESHUYA,1030125,25.0,8
AMA,2019,MAYO,1_ANIO,19029,CORONEL PORTILLO,CAMPOVERDE,1030125,60.0,25
AMA,2019,MAYO,1_ANIO,115625,CORONEL PORTILLO,YARINACOCHA,1030125,361.0,73
AMA,2019,MAYO,1_ANIO,168924,CORONEL PORTILLO,CALLERIA,1030125,434.0,44
AMA,2019,NOVIEMBRE,1_ANIO,5690,CORONEL PORTILLO,NUEVA REQUENA,1813790,22.0,4
AMA,2019,NOVIEMBRE,1_ANIO,6037,PADRE ABAD,ALEXANDER VON HUMBOLDT,1813790,7.0,4
AMA,2019,NOVIEMBRE,1_ANIO,9803,PADRE ABAD,CURIMANA,1813790,19.0,4
AMA,2019,NOVIEMBRE,1_ANIO,10080,PADRE ABAD,NESHUYA,1813790,24.0,18
AMA,2019,NOVIEMBRE,1_ANIO,19029,CORONEL PORTILLO,CAMPOVERDE,1813790,57.0,28
AMA,2019,NOVIEMBRE,1_ANIO,115625,CORONEL PORTILLO,YARINACOCHA,1813790,368.0,66
AMA,2019,NOVIEMBRE,1_ANIO,168924,CORONEL PORTILLO,CALLERIA,1813790,439.0,47
AMA,2019,OCTUBRE,1_ANIO,5690,CORONEL PORTILLO,NUEVA REQUENA,619318,27.0,7
AMA,2019,OCTUBRE,1_ANIO,6037,PADRE ABAD,ALEXANDER VON HUMBOLDT,619318,8.0,1
AMA,2019,OCTUBRE,1_ANIO,9803,PADRE ABAD,CURIMANA,619318,20.0,3
AMA,2019,OCTUBRE,1_ANIO,10080,PADRE ABAD,NESHUYA,619318,26.0,8
AMA,2019,OCTUBRE,1_ANIO,19029,CORONEL PORTILLO,CAMPOVERDE,619318,63.0,20
AMA,2019,OCTUBRE,1_ANIO,115625,CORONEL PORTILLO,YARINACOCHA,619318,390.0,80
AMA,2019,OCTUBRE,1_ANIO,168924,CORONEL PORTILLO,CALLERIA,619318,452.0,49
AMA,2019,SETIEMBRE,1_ANIO,5690,CORONEL PORTILLO,NUEVA REQUENA,85800,23.0,16
AMA,2019,SETIEMBRE,1_ANIO,6037,PADRE ABAD,ALEXANDER VON HUMBOLDT,85800,8.0,3
AMA,2019,SETIEMBRE,1_ANIO,9803,PADRE ABAD,CURIMANA,85800,19.0,16
AMA,2019,SETIEMBRE,1_ANIO,10080,PADRE ABAD,NESHUYA,85800,24.0,13
AMA,2019,SETIEMBRE,1_ANIO,19029,CORONEL PORTILLO,CAMPOVERDE,85800,57.0,17
AMA,2019,SETIEMBRE,1_ANIO,115625,CORONEL PORTILLO,YARINACOCHA,85800,373.0,122
AMA,2019,SETIEMBRE,1_ANIO,168924,CORONEL PORTILLO,CALLERIA,85800,439.0,89
AMA,2020,ABRIL,1_ANIO,2435,ATALAYA,YURUA,815151,7.0,0
AMA,2020,ABRIL,1_ANIO,3284,PURUS,PURUS,815151,18.0,0
AMA,2020,ABRIL,1_ANIO,5742,CORONEL PORTILLO,NUEVA REQUENA,815151,22.0,0
AMA,2020,ABRIL,1_ANIO,6159,PADRE ABAD,ALEXANDER VON HUMBOLDT,815151,6.0,0
AMA,2020,ABRIL,1_ANIO,8264,ATALAYA,SEPAHUA,815151,14.0,2
AMA,2020,ABRIL,1_ANIO,10219,PADRE ABAD,CURIMANA,815151,17.0,0
AMA,2020,ABRIL,1_ANIO,10501,PADRE ABAD,NESHUYA,815151,25.0,0
AMA,2020,ABRIL,1_ANIO,10618,ATALAYA,TAHUANIA,815151,24.0,0
AMA,2020,ABRIL,1_ANIO,11961,CORONEL PORTILLO,MASISEA,815151,49.0,8
AMA,2020,ABRIL,1_ANIO,12065,PADRE ABAD,IRAZOLA,815151,39.0,1
AMA,2020,ABRIL,1_ANIO,12350,CORONEL PORTILLO,IPARIA,815151,43.0,1
AMA,2020,ABRIL,1_ANIO,19598,CORONEL PORTILLO,CAMPOVERDE,815151,60.0,1
AMA,2020,ABRIL,1_ANIO,38100,PADRE ABAD,PADRE ABAD,815151,91.0,0
AMA,2020,ABRIL,1_ANIO,39732,ATALAYA,RAIMONDI,815151,91.0,1
AMA,2020,ABRIL,1_ANIO,107364,CORONEL PORTILLO,MANANTAY,815151,132.0,2
AMA,2020,ABRIL,1_ANIO,118666,CORONEL PORTILLO,YARINACOCHA,815151,370.0,1
AMA,2020,ABRIL,1_ANIO,172052,CORONEL PORTILLO,CALLERIA,815151,572.0,0
AMA,2020,AGOSTO,1_ANIO,2435,ATALAYA,YURUA,725676,6.0,0
AMA,2020,AGOSTO,1_ANIO,3284,PURUS,PURUS,725676,17.0,8
AMA,2020,AGOSTO,1_ANIO,5742,CORONEL PORTILLO,NUEVA REQUENA,725676,21.0,2
AMA,2020,AGOSTO,1_ANIO,6159,PADRE ABAD,ALEXANDER VON HUMBOLDT,725676,9.0,1
AMA,2020,AGOSTO,1_ANIO,8264,ATALAYA,SEPAHUA,725676,16.0,4
AMA,2020,AGOSTO,1_ANIO,10219,PADRE ABAD,CURIMANA,725676,22.0,13
AMA,2020,AGOSTO,1_ANIO,10501,PADRE ABAD,NESHUYA,725676,27.0,15
AMA,2020,AGOSTO,1_ANIO,10618,ATALAYA,TAHUANIA,725676,26.0,0
AMA,2020,AGOSTO,1_ANIO,11961,CORONEL PORTILLO,MASISEA,725676,48.0,25
AMA,2020,AGOSTO,1_ANIO,12065,PADRE ABAD,IRAZOLA,725676,44.0,5
AMA,2020,AGOSTO,1_ANIO,12350,CORONEL PORTILLO,IPARIA,725676,39.0,14
AMA,2020,AGOSTO,1_ANIO,19598,CORONEL PORTILLO,CAMPOVERDE,725676,58.0,33
AMA,2020,AGOSTO,1_ANIO,38100,PADRE ABAD,PADRE ABAD,725676,107.0,4
AMA,2020,AGOSTO,1_ANIO,39732,ATALAYA,RAIMONDI,725676,98.0,16
AMA,2020,AGOSTO,1_ANIO,107364,CORONEL PORTILLO,MANANTAY,725676,139.0,55
AMA,2020,AGOSTO,1_ANIO,118666,CORONEL PORTILLO,YARINACOCHA,725676,411.0,79
AMA,2020,AGOSTO,1_ANIO,172052,CORONEL PORTILLO,CALLERIA,725676,663.0,148
AMA,2020,DICIEMBRE,1_ANIO,2435,ATALAYA,YURUA,161316,7.0,2
AMA,2020,DICIEMBRE,1_ANIO,3284,PURUS,PURUS,161316,17.0,5
AMA,2020,DICIEMBRE,1_ANIO,5742,CORONEL PORTILLO,NUEVA REQUENA,161316,31.0,10
