VACUNA,ANIO,MES,RANGO_EDAD,POBLACION,PROVINCIA,DISTRITO,PRESUPUESTO,CANTIDAD DE PERSONAL,CANTIDAD
AMA,2019,ABRIL,1_ANIO,5690,CORONEL PORTILLO,NUEVA REQUENA,998497,27,17
AMA,2019,ABRIL,1_ANIO,6037,PADRE ABAD,ALEXANDER VON HUMBOLDT,998497,8,6
AMA,2019,ABRIL,1_ANIO,9803,PADRE ABAD,CURIMANA,998497,20,12
AMA,2019,ABRIL,1_ANIO,10080,PADRE ABAD,NESHUYA,998497,26,13
AMA,2019,ABRIL,1_ANIO,19029,CORONEL PORTILLO,CAMPOVERDE,998497,63,34
AMA,2019,ABRIL,1_ANIO,115625,CORONEL PORTILLO,YARINACOCHA,998497,390,89
AMA,2019,ABRIL,1_ANIO,168924,CORONEL PORTILLO,CALLERIA,998497,452,67
AMA,2019,AGOSTO,1_ANIO,5690,CORONEL PORTILLO,NUEVA REQUENA,3650033,22,7
AMA,2019,AGOSTO,1_ANIO,6037,PADRE ABAD,ALEXANDER VON HUMBOLDT,3650033,7,2
AMA,2019,AGOSTO,1_ANIO,9803,PADRE ABAD,CURIMANA,3650033,19,0
AMA,2019,AGOSTO,1_ANIO,10080,PADRE ABAD,NESHUYA,3650033,23,11
AMA,2019,AGOSTO,1_ANIO,19029,CORONEL PORTILLO,CAMPOVERDE,3650033,56,13
AMA,2019,AGOSTO,1_ANIO,115625,CORONEL PORTILLO,YARINACOCHA,3650033,371,29
AMA,2019,AGOSTO,1_ANIO,168924,CORONEL PORTILLO,CALLERIA,3650033,435,26
AMA,2019,DICIEMBRE,1_ANIO,5690,CORONEL PORTILLO,NUEVA REQUENA,1953340,22,15
AMA,2019,DICIEMBRE,1_ANIO,6037,PADRE ABAD,ALEXANDER VON HUMBOLDT,1953340,7,3
AMA,2019,DICIEMBRE,1_ANIO,9803,PADRE ABAD,CURIMANA,1953340,19,12
AMA,2019,DICIEMBRE,1_ANIO,10080,PADRE ABAD,NESHUYA,1953340,24,14
AMA,2019,DICIEMBRE,1_ANIO,19029,CORONEL PORTILLO,CAMPOVERDE,1953340,57,15
AMA,2019,DICIEMBRE,1_ANIO,115625,CORONEL PORTILLO,YARINACOCHA,1953340,368,58
AMA,2019,DICIEMBRE,1_ANIO,168924,CORONEL PORTILLO,CALLERIA,1953340,440,43
AMA,2019,ENERO,1_ANIO,5690,CORONEL PORTILLO,NUEVA REQUENA,924269,23,11
AMA,2019,ENERO,1_ANIO,6037,PADRE ABAD,ALEXANDER VON HUMBOLDT,924269,6,2
AMA,2019,ENERO,1_ANIO,9803,PADRE ABAD,CURIMANA,924269,15,14
AMA,2019,ENERO,1_ANIO,10080,PADRE ABAD,NESHUYA,924269,25,8
AMA,2019,ENERO,1_ANIO,19029,CORONEL PORTILLO,CAMPOVERDE,924269,58,18
AMA,2019,ENERO,1_ANIO,115625,CORONEL PORTILLO,YARINACOCHA,924269,375,83
AMA,2019,ENERO,1_ANIO,168924,CORONEL PORTILLO,CALLERIA,924269,422,85
AMA,2019,FEBRERO,1_ANIO,5690,CORONEL PORTILLO,NUEVA REQUENA,1000320,22,8
AMA,2019,FEBRERO,1_ANIO,6037,PADRE ABAD,ALEXANDER VON HUMBOLDT,1000320,6,8
AMA,2019,FEBRERO,1_ANIO,9803,PADRE ABAD,CURIMANA,1000320,15,44
AMA,2019,FEBRERO,1_ANIO,10080,PADRE ABAD,NESHUYA,1000320,25,38
