VACUNA,ANIO,MES,PROVINCIA,RANGO_EDAD,CANTIDAD DE PERSONAL,POBLACION,PRESUPUESTO,CANTIDAD,UBIGEO,ALFABETISMO,AGUA_POTABLE,DEMORA_CITA_horas,DEMORA_TRASLADO_horas
AMA,2019,ABRIL,CORONEL PORTILLO,1_ANIO,932,5690,998497,207,250100,0.233,0.527,1.254,0.251
AMA,2019,ABRIL,PADRE ABAD,1_ANIO,54,6037,998497,31,250300,0.056,0.667,0.5,0.375
AMA,2019,AGOSTO,CORONEL PORTILLO,1_ANIO,884,5690,3650033,75,250100,0.161,0.292,6.27,0.216
AMA,2019,AGOSTO,PADRE ABAD,1_ANIO,49,6037,3650033,13,250300,0.219,0.667,0.31,0.119
AMA,2019,DICIEMBRE,CORONEL PORTILLO,1_ANIO,887,5690,1953340,131,250100,0.186,0.537,38.927,0.23
AMA,2019,DICIEMBRE,PADRE ABAD,1_ANIO,50,6037,1953340,29,250300,0.208,0.333,0.42,0.193
AMA,2019,ENERO,CORONEL PORTILLO,1_ANIO,878,5690,924269,197,250100,0.134,0.579,1.463,0.288
AMA,2019,ENERO,PADRE ABAD,1_ANIO,46,6037,924269,24,250300,0.263,0.145,0.311,0.25
AMA,2019,FEBRERO,CORONEL PORTILLO,1_ANIO,825,5690,1000320,272,250100,0.139,0.212,13.657,0.247
AMA,2019,FEBRERO,PADRE ABAD,1_ANIO,46,6037,1000320,90,250300,0.254,0.0,0.288,0.053
AMA,2019,JULIO,CORONEL PORTILLO,1_ANIO,932,5690,1352080,72,250100,0.19,0.433,29.353,0.341
AMA,2019,JULIO,PADRE ABAD,1_ANIO,54,6037,1352080,5,250300,0.394,0.304,0.167,0.083
AMA,2019,JUNIO,CORONEL PORTILLO,1_ANIO,889,5690,1235133,55,250100,0.229,0.376,3.274,0.161
AMA,2019,JUNIO,PADRE ABAD,1_ANIO,48,6037,1235133,5,250300,0.143,0.5,0.905,0.274
AMA,2019,MARZO,CORONEL PORTILLO,1_ANIO,932,5690,1003216,246,250100,0.222,0.214,5.727,0.415
AMA,2019,MARZO,PADRE ABAD,1_ANIO,54,6037,1003216,60,250300,0.364,0.056,0.358,0.762
AMA,2019,MAYO,CORONEL PORTILLO,1_ANIO,881,5690,1030125,150,250100,0.24,0.439,39.428,0.273
AMA,2019,MAYO,PADRE ABAD,1_ANIO,52,6037,1030125,33,250300,0.212,0.27,1.58,0.291
AMA,2019,NOVIEMBRE,CORONEL PORTILLO,1_ANIO,886,5690,1813790,145,250100,0.26,0.31,14.911,0.287
AMA,2019,NOVIEMBRE,PADRE ABAD,1_ANIO,50,6037,1813790,26,250300,0.091,0.5,1.278,0.133
