VACUNA,ANIO,MES,RANGO_EDAD,CANTIDAD DE PERSONAL,POBLACION,PRESUPUESTO,CANTIDAD,ALFABETISMO,AGUA_POTABLE,DEMORA_CITA_horas,DEMORA_TRASLADO_horas
AMA,2019,ABRIL,1_ANIO,986,5690,998497,238,0.14450000000000002,0.597,0.877,0.313
AMA,2019,AGOSTO,1_ANIO,933,5690,3650033,88,0.19,0.47950000000000004,3.2899999999999996,0.16749999999999998
AMA,2019,DICIEMBRE,1_ANIO,937,5690,1953340,160,0.197,0.43500000000000005,19.6735,0.21150000000000002
AMA,2019,ENERO,1_ANIO,924,5690,924269,221,0.1985,0.362,0.887,0.269
AMA,2019,FEBRERO,1_ANIO,871,5690,1000320,362,0.1965,0.106,6.9725,0.15
AMA,2019,JULIO,1_ANIO,986,5690,1352080,77,0.29200000000000004,0.3685,14.760000000000002,0.21200000000000002
AMA,2019,JUNIO,1_ANIO,937,5690,1235133,60,0.186,0.438,2.0895,0.21750000000000003
AMA,2019,MARZO,1_ANIO,986,5690,1003216,306,0.293,0.135,3.0425,0.5885
AMA,2019,MAYO,1_ANIO,933,5690,1030125,183,0.22599999999999998,0.35450000000000004,20.503999999999998,0.28200000000000003
AMA,2019,NOVIEMBRE,1_ANIO,936,5690,1813790,171,0.1755,0.405,8.0945,0.21
AMA,2019,OCTUBRE,1_ANIO,986,5690,619318,168,0.243,0.33799999999999997,11.2205,0.247
AMA,2019,SETIEMBRE,1_ANIO,943,5690,85800,276,0.136,0.494,25.7535,0.186
AMA,2020,ABRIL,1_ANIO,1580,2435,815151,17,0.232,0.30325,0.0,0.0
AMA,2020,AGOSTO,1_ANIO,1751,2435,725676,422,0.4885,0.10325000000000001,0.0,0.0
AMA,2020,DICIEMBRE,1_ANIO,1830,2435,161316,515,0.18225,0.2395,0.6012500000000001,0.2155
AMA,2020,ENERO,1_ANIO,1568,2435,777891,335,0.1375,0.31725000000000003,2.623,0.15475
AMA,2020,FEBRERO,1_ANIO,1580,2435,761802,315,0.248,0.28475,6.1290000000000004,0.15725
AMA,2020,JULIO,1_ANIO,1568,2435,804264,326,0.3055,0.188,0.0,0.0
AMA,2020,JUNIO,1_ANIO,1643,2435,718822,128,0.362,0.11199999999999999,0.0,0.0
AMA,2020,MARZO,1_ANIO,1588,2435,751336,199,0.16875,0.19275,2.5940000000000003,0.54175
AMA,2020,MAYO,1_ANIO,1636,2435,710703,64,0.37075,0.134,0.0,0.0
AMA,2020,NOVIEMBRE,1_ANIO,1805,2435,1348304,712,0.14625,0.20275,0.28025,0.19275
AMA,2020,OCTUBRE,1_ANIO,1830,2435,858754,707,0.20825,0.1865,1.8335,0.26075
AMA,2020,SETIEMBRE,1_ANIO,1751,2435,749638,509,0.2045,0.26925,13.869,0.40225
AMA,2021,ABRIL,1_ANIO,1914,2501,268268,382,0.14550000000000002,0.0885,7.37,0.34925
AMA,2021,AGOSTO,1_ANIO,1937,2501,629819,422,0.17675000000000002,0.134,2.82275,0.35325
AMA,2021,DICIEMBRE,1_ANIO,1971,2501,486866,248,0.19225,0.236,2.7015,0.14575
AMA,2021,ENERO,1_ANIO,1830,2501,822309,440,0.19925,0.1495,1.1355,0.14350000000000002
AMA,2021,FEBRERO,1_ANIO,1829,2501,677118,405,0.14775,0.1345,0.18925,0.39025
AMA,2021,JULIO,1_ANIO,1901,2501,647735,408,0.20725000000000002,0.29925,1.5147499999999998,0.18125000000000002
AMA,2021,JUNIO,1_ANIO,1898,2501,696098,357,0.153,0.2985,0.83875,0.5575
AMA,2021,MARZO,1_ANIO,1843,2501,1269741,421,0.20750000000000002,0.20450000000000002,0.3335,0.7835
AMA,2021,MAYO,1_ANIO,1888,2501,694026,404,0.179,0.1975,0.2415,0.15375
AMA,2021,NOVIEMBRE,1_ANIO,1961,2501,811749,322,0.1575,0.16275,7.999250000000001,0.95475
AMA,2021,OCTUBRE,1_ANIO,1894,2501,612818,367,0.2525,0.23825,2.7984999999999998,0.4165
AMA,2021,SETIEMBRE,1_ANIO,1922,2501,681661,482,0.182,0.1995,0.29075,0.139
AMA,2022,ABRIL,1_ANIO,2064,2564,748576,406,0.12275,0.16025,9.15,0.427
AMA,2022,AGOSTO,1_ANIO,1944,2564,779177,463,0.15575,0.3005,4.76575,0.09175
AMA,2022,DICIEMBRE,1_ANIO,2229,2564,996898,319,0.15475,0.1185,13.73575,0.13725
AMA,2022,ENERO,1_ANIO,1990,2564,684081,323,0.17825000000000002,0.186,15.563500000000001,1.33925
AMA,2022,FEBRERO,1_ANIO,2014,2564,910655,365,0.1295,0.1335,0.1925,0.476
